cod_regsaud;mean_12;mean_24;mean_36;mean_48;mean_60;mean_72;mean_84;mean_96;mean_108;mean_120;mean_132;mean_144;mean_156;mean_168;mean_180;std_12;std_24;std_36;std_48;std_60;std_72;std_84;std_96;std_108;std_120;std_132;std_144;std_156;std_168;min_12;min_24;min_36;min_48;min_60;min_72;min_84;min_96;min_108;min_120;min_132;min_144;min_156;min_168;min_180;25%_12;25%_24;25%_36;25%_48;25%_60;25%_72;25%_84;25%_96;25%_108;25%_120;25%_132;25%_144;25%_156;25%_168;25%_180;50%_12;50%_24;50%_36;50%_48;50%_60;50%_72;50%_84;50%_96;50%_108;50%_120;50%_132;50%_144;50%_156;50%_168;50%_180;75%_12;75%_24;75%_36;75%_48;75%_60;75%_72;75%_84;75%_96;75%_108;75%_120;75%_132;75%_144;75%_156;75%_168;75%_180;max_12;max_24;max_36;max_48;max_60;max_72;max_84;max_96;max_108;max_120;max_132;max_144;max_156;max_168;max_180
12003;25.2;21.142857142857142;18.692307692307693;16.0;13.909090909090908;13.6;11.88888888888889;11.875;11.571428571428571;8.833333333333334;8.2;8.75;7.333333333333333;5.5;3.0;9.99428408069904;9.197467401051584;8.400244196694674;5.768251665169202;5.3189199177003115;6.131883886702356;3.723051317281446;5.249149590988185;6.1334368521284715;4.708148963941844;3.63318042491699;4.031128874149275;4.509249752822894;3.5355339059327378;10.0;10.0;8.0;7.0;7.0;6.0;7.0;6.0;4.0;3.0;4.0;4.0;3.0;3.0;3.0;17.5;15.0;13.0;12.0;11.5;10.25;9.0;8.5;7.5;6.5;6.0;6.25;5.0;4.25;3.0;26.0;17.0;16.0;14.5;13.0;13.0;12.0;10.5;10.0;8.5;7.0;9.0;7.0;5.5;3.0;31.5;27.0;22.0;19.0;16.0;15.5;15.0;14.5;16.0;9.75;12.0;11.5;9.5;6.75;3.0;47.0;42.0;40.0;26.0;26.0;27.0;17.0;20.0;20.0;17.0;12.0;13.0;12.0;8.0;3.0
12002;65.13333333333334;56.785714285714285;50.61538461538461;47.0;42.72727272727273;41.7;39.22222222222222;40.0;34.42857142857143;32.0;31.2;29.5;29.666666666666668;30.5;31.0;18.965633079210356;16.793673586427495;15.3868908573633;13.638181696985855;12.426511248865541;12.392201849012412;12.47775798949653;14.372592966177974;9.10781976942786;8.024961059095553;6.496152707564686;5.507570547286102;4.725815626252609;3.5355339059327378;39.0;32.0;29.0;27.0;23.0;26.0;24.0;21.0;22.0;22.0;23.0;23.0;26.0;28.0;31.0;49.0;45.25;39.0;37.25;33.0;33.5;31.0;29.5;28.5;27.25;29.0;26.0;27.0;29.25;31.0;69.0;57.5;49.0;47.5;40.0;36.5;35.0;39.0;33.0;30.0;31.0;30.0;28.0;30.5;31.0;84.5;73.25;63.0;59.75;52.0;49.75;43.0;48.5;40.5;38.75;32.0;33.5;31.5;31.75;31.0;88.0;80.0;69.0;64.0;62.0;65.0;62.0;65.0;48.0;42.0;41.0;35.0;35.0;33.0;31.0
12001;8.4;7.214285714285714;5.846153846153846;5.0;5.2727272727272725;5.6;5.222222222222222;4.875;4.857142857142857;4.166666666666667;5.0;6.333333333333333;6.333333333333333;5.0;5.0;3.480558247506528;3.0427359001795997;3.158220855855235;2.412090756622109;2.901410315377992;3.1692971530679235;2.773886162848873;2.997022331772464;3.484660262185848;3.5449494589721118;3.559026084010437;2.8867513459481287;1.1547005383792517;1.4142135623730951;3.0;3.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;3.0;5.0;4.0;5.0;5.5;5.0;3.0;3.0;3.0;3.25;3.0;2.0;2.0;1.25;2.5;5.5;6.0;4.5;5.0;8.0;7.0;7.0;5.0;5.0;5.5;5.0;5.0;4.0;3.0;5.5;8.0;7.0;5.0;5.0;10.0;9.5;7.0;7.0;7.5;6.75;7.0;7.25;7.5;7.0;8.0;8.0;7.0;5.5;5.0;14.0;14.0;12.0;9.0;11.0;12.0;9.0;9.0;10.0;9.0;8.0;8.0;7.0;6.0;5.0
27007;56.13333333333333;50.5;42.61538461538461;39.25;35.72727272727273;32.6;28.555555555555557;28.75;30.428571428571427;30.5;26.0;25.25;24.666666666666668;18.5;14.0;25.684533051921306;22.572106680591425;15.708482111789486;13.725391201578322;13.748388335298863;12.668420931153532;10.162567479617431;11.683321445547923;13.189100839419682;15.228263197095066;8.18535277187245;8.616843969807043;9.018499505645789;4.949747468305833;27.0;22.0;21.0;21.0;21.0;18.0;16.0;15.0;13.0;13.0;15.0;15.0;16.0;15.0;14.0;40.5;35.0;31.0;26.75;23.5;24.25;23.0;21.5;23.5;24.0;22.0;21.75;20.0;16.75;14.0;48.0;43.5;41.0;38.0;36.0;29.0;26.0;27.5;29.0;27.0;27.0;25.0;24.0;18.5;14.0;65.5;61.0;51.0;47.25;42.5;37.75;33.0;32.25;34.5;33.0;29.0;28.5;29.0;20.25;14.0;126.0;103.0;73.0;66.0;59.0;55.0;50.0;53.0;55.0;58.0;37.0;36.0;34.0;22.0;14.0
27008;12.4;10.785714285714286;9.23076923076923;7.916666666666667;7.181818181818182;7.0;5.888888888888889;6.5;7.142857142857143;5.5;4.8;4.5;5.666666666666667;5.5;2.0;6.884765791223402;6.8968060771587645;5.599908424159663;4.79504163093755;5.793413187718994;6.110100926607787;5.883120864907597;5.237229365663817;5.459809869356607;3.082207001484488;2.3874672772626644;3.0;3.5118845842842465;4.949747468305833;3.0;3.0;3.0;3.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;7.5;5.25;4.0;4.0;3.0;3.0;2.0;3.5;4.0;3.25;3.0;2.0;4.0;3.75;2.0;12.0;10.5;7.0;6.5;4.0;4.5;4.0;5.0;5.0;5.0;5.0;4.0;6.0;5.5;2.0;16.0;13.0;12.0;10.0;9.5;9.25;6.0;8.0;8.5;7.5;6.0;6.5;7.5;7.25;2.0;26.0;23.0;22.0;19.0;21.0;21.0;20.0;17.0;18.0;10.0;8.0;8.0;9.0;9.0;2.0
27001;161.2;133.42857142857142;114.3076923076923;96.91666666666667;92.63636363636364;83.4;77.55555555555556;71.875;47.42857142857143;43.666666666666664;37.2;38.75;34.333333333333336;39.0;41.0;110.02545160098185;92.02567725762889;84.37750945935831;71.88811803873791;72.57998722412773;68.52769107772743;70.78684749144983;72.07424247657015;20.057061456896278;19.61292091114087;12.517987058628874;13.149778198382917;10.503967504392488;8.48528137423857;37.0;31.0;29.0;24.0;25.0;27.0;22.0;22.0;21.0;21.0;24.0;22.0;24.0;33.0;41.0;68.0;55.75;51.0;46.5;41.5;39.5;33.0;29.75;32.5;31.75;31.0;32.5;29.0;36.0;41.0;126.0;108.5;79.0;68.0;69.0;61.0;56.0;54.5;45.0;38.5;32.0;40.0;34.0;39.0;41.0;259.5;201.5;161.0;134.5;121.0;98.75;81.0;68.75;63.5;55.0;43.0;46.25;39.5;42.0;41.0;341.0;287.0;269.0;260.0;260.0;254.0;253.0;244.0;74.0;74.0;56.0;53.0;45.0;45.0;41.0
27002;17.8;15.714285714285714;12.846153846153847;8.916666666666666;7.6;6.555555555555555;5.125;4.285714285714286;4.166666666666667;3.0;2.5;2.0;2.3333333333333335;2.5;3.0;13.810968725721493;14.27977898680816;14.088092808267518;5.853644293527879;4.695151163109069;4.7987266829626565;3.7961446607992015;1.4960264830861913;2.136976056643281;1.8708286933869707;1.2909944487358056;1.0;0.5773502691896258;0.7071067811865476;3.0;2.0;2.0;1.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;3.0;10.0;8.0;6.0;5.5;4.25;4.0;3.5;4.5;3.25;2.0;1.75;1.5;2.0;2.25;3.0;14.0;11.0;8.0;8.0;6.0;5.0;4.5;5.0;4.0;3.0;2.5;2.0;2.0;2.5;3.0;22.5;18.75;16.0;12.25;10.5;6.0;5.0;5.0;5.5;3.0;3.25;2.5;2.5;2.75;3.0;58.0;56.0;56.0;19.0;17.0;16.0;14.0;5.0;7.0;6.0;4.0;3.0;3.0;3.0;3.0
27003;19.266666666666666;16.642857142857142;14.23076923076923;10.5;8.909090909090908;8.3;7.0;6.25;5.142857142857143;5.0;5.0;4.5;4.666666666666667;4.5;4.0;11.572545507528131;10.126941544955468;10.133721315109652;4.83359455929398;4.5266885347800425;5.250396810400778;2.5;2.49284690951645;1.9518001458970664;1.2649110640673518;2.0;1.7320508075688772;2.0816659994661326;2.1213203435596424;8.0;7.0;6.0;6.0;3.0;4.0;4.0;4.0;3.0;4.0;3.0;3.0;3.0;3.0;4.0;15.0;12.25;8.0;6.0;5.0;5.0;5.0;4.75;3.5;4.0;4.0;3.75;3.5;3.75;4.0;17.0;14.5;10.0;9.5;9.0;7.0;6.0;5.0;5.0;4.5;4.0;4.0;4.0;4.5;4.0;20.0;17.75;18.0;12.5;11.0;9.0;10.0;7.75;6.5;5.75;6.0;4.75;5.5;5.25;4.0;57.0;48.0;44.0;21.0;18.0;22.0;10.0;10.0;8.0;7.0;8.0;7.0;7.0;6.0;4.0
27006;21.533333333333335;17.857142857142858;13.538461538461538;10.833333333333334;9.0;7.1;6.111111111111111;4.0;4.285714285714286;4.5;3.6;3.75;3.0;3.0;2.0;9.417814932097471;9.163952312077033;6.728241283517616;6.072790781740128;5.89915248150105;3.6953424138441564;2.803767306876787;1.0690449676496976;1.3801311186847085;1.8708286933869707;1.816590212458495;1.5;1.0;;12.0;9.0;6.0;5.0;3.0;4.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;3.0;2.0;14.0;11.25;8.0;6.75;6.0;5.25;4.0;3.75;3.5;3.25;3.0;2.75;2.5;3.0;2.0;20.0;15.5;12.0;8.5;7.0;6.0;6.0;4.0;5.0;4.5;4.0;4.0;3.0;3.0;2.0;22.0;19.75;15.0;13.75;10.0;6.75;7.0;5.0;5.0;5.75;4.0;5.0;3.5;3.0;2.0;39.0;37.0;27.0;25.0;23.0;16.0;12.0;5.0;6.0;7.0;6.0;5.0;4.0;3.0;2.0
27005;23.533333333333335;20.5;16.23076923076923;13.5;12.545454545454545;10.7;9.0;7.375;7.166666666666667;6.4;4.75;4.333333333333333;5.0;4.5;6.0;12.472064021339088;12.252158365585412;9.679478689077614;7.879778492502761;7.4480015623472635;6.290204024248075;4.6097722286464435;4.033343171967536;2.136976056643281;1.816590212458495;1.707825127659933;1.1547005383792517;1.7320508075688772;2.1213203435596424;7.0;6.0;6.0;5.0;4.0;2.0;2.0;1.0;4.0;4.0;3.0;3.0;3.0;3.0;6.0;13.5;11.25;9.0;9.75;7.5;7.25;6.0;5.5;6.25;6.0;3.75;4.0;4.5;3.75;6.0;21.0;17.5;15.0;12.0;12.0;10.5;9.0;7.0;7.0;6.0;4.5;5.0;6.0;4.5;6.0;30.5;31.25;17.0;15.25;13.5;11.75;12.0;9.5;8.5;7.0;5.5;5.0;6.0;5.25;6.0;47.0;43.0;35.0;30.0;27.0;21.0;18.0;14.0;10.0;9.0;7.0;5.0;6.0;6.0;6.0
