cohort;0;12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;cod_regsaud
2009-01;16.0;10.0;10.0;8.0;7.0;7.0;7.0;7.0;6.0;6.0;6.0;4.0;4.0;3.0;3.0;3.0;12003
2010-01;26.0;19.0;15.0;15.0;12.0;13.0;12.0;11.0;9.0;9.0;8.0;7.0;7.0;7.0;8.0;;12003
2011-01;32.0;28.0;24.0;20.0;19.0;17.0;14.0;13.0;12.0;13.0;9.0;12.0;11.0;12.0;;;12003
2012-01;26.0;21.0;15.0;15.0;14.0;12.0;10.0;9.0;9.0;10.0;10.0;12.0;13.0;;;;12003
2013-01;17.0;14.0;14.0;12.0;10.0;8.0;6.0;7.0;7.0;4.0;3.0;6.0;;;;;12003
2014-01;45.0;33.0;24.0;20.0;19.0;15.0;19.0;16.0;19.0;20.0;17.0;;;;;;12003
2015-01;34.0;29.0;28.0;22.0;19.0;19.0;16.0;17.0;20.0;19.0;;;;;;;12003
2016-01;21.0;18.0;15.0;13.0;14.0;12.0;11.0;12.0;13.0;;;;;;;;12003
2017-01;27.0;17.0;17.0;16.0;15.0;13.0;14.0;15.0;;;;;;;;;12003
2018-01;43.0;37.0;34.0;25.0;25.0;26.0;27.0;;;;;;;;;;12003
2019-01;21.0;16.0;13.0;11.0;12.0;11.0;;;;;;;;;;;12003
2020-01;40.0;33.0;28.0;26.0;26.0;;;;;;;;;;;;12003
2021-01;58.0;47.0;42.0;40.0;;;;;;;;;;;;;12003
2022-01;35.0;30.0;17.0;;;;;;;;;;;;;;12003
2023-01;36.0;26.0;;;;;;;;;;;;;;;12003
2024-01;45.0;;;;;;;;;;;;;;;;12003
2009-01;70.0;51.0;51.0;49.0;45.0;39.0;37.0;41.0;44.0;38.0;41.0;41.0;35.0;35.0;33.0;31.0;12002
2010-01;60.0;49.0;46.0;42.0;39.0;40.0;36.0;35.0;34.0;33.0;32.0;32.0;33.0;28.0;28.0;;12002
2011-01;55.0;49.0;45.0;39.0;38.0;30.0;33.0;29.0;28.0;29.0;28.0;29.0;27.0;26.0;;;12002
2012-01;51.0;39.0;32.0;29.0;27.0;23.0;26.0;24.0;21.0;22.0;22.0;23.0;23.0;;;;12002
2013-01;55.0;41.0;35.0;31.0;35.0;35.0;35.0;31.0;30.0;28.0;27.0;31.0;;;;;12002
2014-01;72.0;64.0;54.0;48.0;50.0;50.0;43.0;43.0;48.0;43.0;42.0;;;;;;12002
2015-01;88.0;70.0;61.0;61.0;59.0;53.0;52.0;55.0;50.0;48.0;;;;;;;12002
2016-01;99.0;88.0;74.0;69.0;64.0;62.0;65.0;62.0;65.0;;;;;;;;12002
2017-01;50.0;40.0;33.0;30.0;28.0;31.0;33.0;33.0;;;;;;;;;12002
2018-01;85.0;69.0;65.0;63.0;62.0;56.0;57.0;;;;;;;;;;12002
2019-01;83.0;72.0;71.0;59.0;53.0;51.0;;;;;;;;;;;12002
2020-01;97.0;87.0;74.0;69.0;64.0;;;;;;;;;;;;12002
2021-01;104.0;88.0;74.0;69.0;;;;;;;;;;;;;12002
2022-01;119.0;82.0;80.0;;;;;;;;;;;;;;12002
2023-01;108.0;88.0;;;;;;;;;;;;;;;12002
2024-01;134.0;;;;;;;;;;;;;;;;12002
2009-01;15.0;9.0;10.0;9.0;9.0;11.0;12.0;8.0;9.0;10.0;9.0;8.0;8.0;7.0;6.0;5.0;12001
2010-01;9.0;5.0;4.0;3.0;3.0;2.0;4.0;3.0;2.0;2.0;2.0;3.0;3.0;5.0;4.0;;12001
2011-01;11.0;9.0;8.0;7.0;5.0;5.0;6.0;7.0;7.0;7.0;4.0;8.0;8.0;7.0;;;12001
2012-01;6.0;5.0;4.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;1.0;;;;;;12001
2013-01;4.0;3.0;3.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;;;;;12001
2014-01;14.0;13.0;10.0;5.0;6.0;5.0;6.0;9.0;8.0;8.0;8.0;;;;;;12001
2015-01;15.0;9.0;6.0;3.0;2.0;3.0;3.0;5.0;5.0;4.0;;;;;;;12001
2016-01;9.0;4.0;5.0;3.0;3.0;4.0;5.0;5.0;5.0;;;;;;;;12001
2017-01;12.0;8.0;8.0;7.0;7.0;7.0;7.0;7.0;;;;;;;;;12001
2018-01;12.0;8.0;7.0;7.0;8.0;8.0;9.0;;;;;;;;;;12001
2019-01;12.0;11.0;10.0;9.0;5.0;8.0;;;;;;;;;;;12001
2020-01;8.0;8.0;7.0;7.0;7.0;;;;;;;;;;;;12001
2021-01;16.0;14.0;14.0;12.0;;;;;;;;;;;;;12001
2022-01;11.0;6.0;5.0;;;;;;;;;;;;;;12001
2023-01;14.0;14.0;;;;;;;;;;;;;;;12001
2024-01;11.0;;;;;;;;;;;;;;;;12001
2009-01;40.0;36.0;33.0;31.0;27.0;23.0;18.0;16.0;15.0;13.0;13.0;15.0;15.0;16.0;15.0;14.0;27007
2010-01;55.0;47.0;42.0;38.0;40.0;27.0;26.0;23.0;20.0;23.0;24.0;22.0;24.0;24.0;22.0;;27007
2011-01;57.0;52.0;45.0;41.0;36.0;36.0;34.0;33.0;33.0;36.0;34.0;37.0;36.0;34.0;;;27007
2012-01;42.0;35.0;30.0;24.0;25.0;23.0;24.0;24.0;24.0;24.0;24.0;27.0;26.0;;;;27007
