cod_regsaud;mean_12;mean_24;mean_36;mean_48;mean_60;mean_72;mean_84;mean_96;mean_108;mean_120;mean_132;mean_144;mean_156;mean_168;mean_180;std_12;std_24;std_36;std_48;std_60;std_72;std_84;std_96;std_108;std_120;std_132;std_144;std_156;std_168;min_12;min_24;min_36;min_48;min_60;min_72;min_84;min_96;min_108;min_120;min_132;min_144;min_156;min_168;min_180;25%_12;25%_24;25%_36;25%_48;25%_60;25%_72;25%_84;25%_96;25%_108;25%_120;25%_132;25%_144;25%_156;25%_168;25%_180;50%_12;50%_24;50%_36;50%_48;50%_60;50%_72;50%_84;50%_96;50%_108;50%_120;50%_132;50%_144;50%_156;50%_168;50%_180;75%_12;75%_24;75%_36;75%_48;75%_60;75%_72;75%_84;75%_96;75%_108;75%_120;75%_132;75%_144;75%_156;75%_168;75%_180;max_12;max_24;max_36;max_48;max_60;max_72;max_84;max_96;max_108;max_120;max_132;max_144;max_156;max_168;max_180
12003;27.133333333333333;18.428571428571427;14.384615384615385;12.333333333333334;9.727272727272727;8.2;8.11111111111111;8.0;8.428571428571429;8.666666666666666;7.6;7.5;7.0;8.5;11.0;11.475854569278841;10.938388896375537;9.50033737592567;7.265526738501399;3.2277208395680406;3.32665998663324;3.3333333333333335;3.779644730092272;3.779644730092272;4.033195589934446;4.335896677735761;3.696845502136472;5.0;4.949747468305833;9.0;7.0;5.0;3.0;4.0;3.0;3.0;2.0;2.0;3.0;2.0;3.0;2.0;5.0;11.0;18.5;12.0;9.0;7.75;8.5;6.0;7.0;6.0;8.0;7.0;6.0;6.0;4.5;6.75;11.0;24.0;16.0;12.0;11.0;10.0;8.5;8.0;8.0;8.0;8.5;8.0;7.5;7.0;8.5;11.0;33.5;21.75;16.0;12.5;11.0;9.75;9.0;9.25;9.0;10.0;8.0;9.0;9.5;10.25;11.0;51.0;48.0;40.0;28.0;14.0;14.0;15.0;15.0;15.0;15.0;14.0;12.0;12.0;12.0;11.0
12002;72.86666666666666;55.57142857142857;45.76923076923077;41.0;38.72727272727273;35.4;33.55555555555556;32.5;32.142857142857146;32.833333333333336;32.0;31.25;31.333333333333332;34.0;33.0;20.528261587614374;12.989429345636195;10.125494606469406;9.797958971132712;9.078446002382886;8.971560003081342;9.862949750342327;7.727501906456298;6.768273325562717;5.776388721914988;6.164414002968976;5.737304826019502;2.886751345948129;1.4142135623730951;49.0;38.0;25.0;24.0;21.0;20.0;21.0;21.0;23.0;25.0;24.0;26.0;28.0;33.0;33.0;62.5;46.5;40.0;35.25;34.5;28.25;24.0;29.0;27.5;29.25;28.0;26.75;30.5;33.5;33.0;65.0;57.0;46.0;42.0;41.0;36.5;33.0;32.5;31.0;32.5;32.0;30.5;33.0;34.0;33.0;77.0;61.0;52.0;46.25;43.0;43.5;41.0;37.5;37.0;37.25;38.0;35.0;33.0;34.5;33.0;132.0;84.0;63.0;59.0;53.0;45.0;46.0;42.0;42.0;40.0;38.0;38.0;33.0;35.0;33.0
12001;9.333333333333334;6.071428571428571;3.923076923076923;3.5;2.3333333333333335;2.5;1.8;1.6;1.8;1.8;2.0;2.0;1.5;1.5;3.0;6.019808571549036;3.8323378226368807;2.8711652240144145;2.8382310609877335;1.6583123951777;1.378404875209022;0.8366600265340756;0.8944271909999159;1.3038404810405297;1.3038404810405297;1.4142135623730951;1.7320508075688772;0.7071067811865476;0.7071067811865476;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;5.0;3.25;1.0;1.25;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.25;1.25;3.0;8.0;5.0;3.0;3.0;2.0;2.0;2.0;1.0;1.0;1.0;1.5;1.0;1.5;1.5;3.0;12.5;8.75;6.0;4.5;3.0;2.75;2.0;2.0;2.0;2.0;2.5;2.5;1.75;1.75;3.0;25.0;13.0;10.0;10.0;5.0;5.0;3.0;3.0;4.0;4.0;4.0;4.0;2.0;2.0;3.0
53001;806.1333333333333;728.5;693.3846153846154;671.25;654.7272727272727;617.1;389.55555555555554;374.5;372.2857142857143;375.3333333333333;355.6;336.75;320.6666666666667;258.5;318.0;699.6337681414537;657.0620799613055;689.6557762707348;710.748788890344;720.7128541810658;731.5191878701626;99.21581415166524;91.39709279527753;88.3510314705197;101.01617032270956;101.78064649038147;105.10431326385547;122.51666553303406;92.63098833543772;267.0;254.0;225.0;222.0;210.0;212.0;182.0;208.0;208.0;195.0;200.0;199.0;197.0;193.0;318.0;478.5;441.25;412.0;362.75;354.0;358.5;358.0;337.75;339.5;344.5;310.0;288.25;260.0;225.75;318.0;549.0;485.0;430.0;434.0;422.0;402.0;420.0;397.5;389.0;411.5;392.0;352.5;323.0;258.5;318.0;903.0;804.25;746.0;577.75;499.0;471.5;448.0;439.25;427.5;430.5;427.0;401.0;382.5;291.25;318.0;3189.0;2892.0;2892.0;2838.0;2759.0;2684.0;498.0;479.0;475.0;475.0;449.0;443.0;442.0;324.0;318.0
52015;71.93333333333334;55.357142857142854;43.15384615384615;38.833333333333336;35.45454545454545;33.8;32.44444444444444;31.75;30.714285714285715;29.5;28.6;26.5;25.333333333333332;26.0;27.0;26.44257029506632;22.03356580261175;11.887291209846435;10.632996099905522;8.937154316264618;7.02060459568041;3.6438685181792407;4.652188425123938;4.6084807950229365;4.806245936279167;4.929503017546495;2.3804761428476167;2.3094010767585034;2.8284271247461903;33.0;26.0;24.0;25.0;26.0;28.0;26.0;24.0;26.0;24.0;24.0;24.0;24.0;24.0;27.0;56.0;41.5;35.0;31.75;29.0;29.25;31.0;28.5;26.0;26.0;25.0;24.75;24.0;25.0;27.0;72.0;53.5;41.0;35.5;32.0;32.0;33.0;33.0;33.0;29.0;27.0;26.5;24.0;26.0;27.0;78.0;62.75;57.0;46.5;40.5;34.75;35.0;35.25;33.5;32.75;31.0;28.25;26.0;27.0;27.0;130.0;118.0;59.0;56.0;51.0;52.0;37.0;37.0;37.0;36.0;36.0;29.0;28.0;28.0;27.0
52011;124.8;95.85714285714286;77.0;67.41666666666667;59.90909090909091;54.1;50.44444444444444;45.0;45.42857142857143;43.0;39.4;40.0;38.666666666666664;39.5;43.0;44.50232738697093;32.25346050094027;20.38381711063951;15.429949233012186;14.286038957349552;15.694655849116993;13.694078201097646;10.309496315810694;9.829498848824779;9.186947262284681;8.018728078691781;7.874007874011811;8.082903768654761;2.1213203435596424;65.0;55.0;43.0;41.0;36.0;30.0;31.0;30.0;32.0;32.0;30.0;30.0;30.0;38.0;43.0;103.5;77.25;60.0;56.75;52.5;45.0;39.0;38.0;39.0;35.5;33.0;36.75;35.0;38.75;43.0;115.0;90.0;75.0;67.5;57.0;52.5;51.0;47.0;44.0;43.5;41.0;40.5;40.0;39.5;43.0;130.0;105.25;98.0;77.75;71.0;65.0;58.0;51.5;53.5;50.75;43.0;43.75;43.0;40.25;43.0;229.0;183.0;110.0;95.0;80.0;79.0;73.0;58.0;57.0;53.0;50.0;49.0;46.0;41.0;43.0
52002;217.86666666666667;158.28571428571428;135.46153846153845;124.16666666666667;110.0;100.7;96.55555555555556;88.125;86.28571428571429;84.16666666666667;83.8;75.0;76.66666666666667;66.0;66.0;92.39346503380195;46.09927176369337;41.666564102437874;40.06774566186925;28.95859112595086;25.148669061315264;25.952413717760006;24.192309876133308;22.544136604405484;25.810204700208534;29.71026758546614;14.832396974191326;9.50438495292217;1.4142135623730951;126.0;92.0;80.0;71.0;71.0;69.0;67.0;63.0;67.0;65.0;55.0;56.0;67.0;65.0;66.0;156.5;125.0;108.0;94.75;92.0;86.0;77.0;75.0;76.0;74.25;74.0;69.5;72.0;65.5;66.0;190.0;162.5;119.0;109.0;101.0;93.5;91.0;84.5;80.0;76.0;75.0;76.0;77.0;66.0;66.0;233.0;175.5;159.0;148.0;129.0;108.5;103.0;91.75;85.0;77.75;81.0;81.5;81.5;66.5;66.0;483.0;269.0;221.0;197.0;160.0;150.0;147.0;142.0;135.0;136.0;134.0;92.0;86.0;67.0;66.0
52009;15.666666666666666;10.714285714285714;8.153846153846153;6.916666666666667;5.2727272727272725;5.9;4.555555555555555;4.0;4.0;4.166666666666667;3.8;3.5;4.0;2.5;1.0;6.019808571549035;5.41264291235837;4.669870694964938;4.461111425588376;3.289100457295553;3.7252889522529364;3.3952581312438936;2.0701966780270626;2.0816659994661326;1.9407902170679516;1.9235384061671346;3.0;1.7320508075688772;2.1213203435596424;6.0;3.0;3.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;11.5;6.5;5.0;3.75;3.0;3.25;2.0;3.0;3.0;3.25;3.0;1.0;3.5;1.75;1.0;14.0;9.0;7.0;5.5;3.0;5.0;4.0;3.5;3.0;4.5;4.0;3.0;5.0;2.5;1.0;20.5;14.75;10.0;9.25;8.5;9.25;7.0;4.75;5.5;5.75;5.0;5.5;5.0;3.25;1.0;25.0;20.0;20.0;18.0;10.0;11.0;11.0;7.0;7.0;6.0;6.0;7.0;5.0;4.0;1.0
52012;28.0;18.714285714285715;13.846153846153847;10.916666666666666;8.545454545454545;8.5;7.888888888888889;6.75;6.285714285714286;6.5;6.4;6.75;4.0;5.0;5.0;15.10439860248852;9.202245306517247;6.504436355879909;4.399552318822974;2.8412545244534626;2.8382310609877335;3.0595932917809696;2.815771906346718;2.811540841738193;2.7386127875258306;2.966479394838265;2.753785273643051;2.0;2.8284271247461903;12.0;9.0;5.0;5.0;4.0;5.0;3.0;3.0;2.0;2.0;3.0;4.0;2.0;3.0;5.0;19.0;13.25;11.0;8.5;7.0;6.25;6.0;5.0;5.0;5.5;5.0;4.75;3.0;4.0;5.0;21.0;16.0;12.0;11.0;9.0;8.0;8.0;6.0;6.0;7.0;5.0;6.5;4.0;5.0;5.0;34.5;20.25;15.0;12.25;10.5;9.75;9.0;8.25;7.5;7.75;9.0;8.5;5.0;6.0;5.0;65.0;42.0;32.0;21.0;12.0;14.0;14.0;12.0;11.0;10.0;10.0;10.0;6.0;7.0;5.0
52001;497.8;430.14285714285717;375.15384615384613;341.5833333333333;333.09090909090907;324.3;314.3333333333333;307.25;305.14285714285717;310.0;302.0;314.5;348.3333333333333;389.5;526.0;140.6567249928502;129.62422443524804;113.92018123365014;102.38914922386981;97.81764109347;104.48716029573522;106.27558515482282;111.45755117660586;120.37362470163272;126.32181125997205;140.63605512101086;153.52198539622916;168.69301506978093;207.18228688765842;315.0;276.0;270.0;223.0;229.0;228.0;212.0;216.0;215.0;215.0;203.0;206.0;245.0;243.0;526.0;391.5;352.5;312.0;291.75;282.0;269.5;267.0;257.0;252.5;245.5;240.0;237.5;251.0;316.25;526.0;456.0;389.5;345.0;320.5;316.0;297.0;278.0;269.5;255.0;260.0;249.0;255.0;257.0;389.5;526.0;592.5;427.5;380.0;350.0;346.5;334.0;336.0;295.25;296.5;310.5;268.0;332.0;400.0;462.75;526.0;743.0;718.0;653.0;635.0;602.0;602.0;577.0;570.0;568.0;557.0;550.0;542.0;543.0;536.0;526.0
