;ano;retention;regiao_saude
0;2014-01;0.3442630095322874;12003
1;2015-01;0.3938083845978583;12003
2;2016-01;0.4375598086124402;12003
3;2017-01;0.4609307359307359;12003
4;2018-01;0.4291125541125541;12003
5;2019-01;0.4007936507936508;12003
6;2020-01;0.3769747161051509;12003
7;2021-01;0.43574602749252717;12003
8;2022-01;0.5100987770110835;12003
9;2023-01;0.5450825233065469;12003
10;2024-01;0.38911815278801276;12003
0;2014-01;0.6069150190743628;12002
1;2015-01;0.6143933276084265;12002
2;2016-01;0.649042903634402;12002
3;2017-01;0.623886041603859;12002
4;2018-01;0.6375895303134427;12002
5;2019-01;0.5629870311840075;12002
6;2020-01;0.5323315842078961;12002
7;2021-01;0.593496044021389;12002
8;2022-01;0.5938219497846013;12002
9;2023-01;0.6022465448228742;12002
10;2024-01;0.6130197981364692;12002
0;2014-01;0.29416666666666663;12001
1;2015-01;0.4089015151515152;12001
2;2016-01;0.45044191919191917;12001
3;2017-01;0.33524531024531024;12001
4;2018-01;0.35746753246753243;12001
5;2019-01;0.27056277056277056;12001
6;2020-01;0.396031746031746;12001
7;2021-01;0.6116071428571429;12001
8;2022-01;0.5327380952380952;12001
9;2023-01;0.5910714285714286;12001
10;2024-01;0.6505760368663595;12001
0;2014-01;0.8114279384453631;53001
1;2015-01;0.8209507620958634;53001
2;2016-01;0.7505930640513016;53001
3;2017-01;0.7609285078615919;53001
4;2018-01;0.8495920738750489;53001
5;2019-01;0.8239769894732515;53001
6;2020-01;0.7877914894321165;53001
7;2021-01;0.819316395386559;53001
8;2022-01;0.8179634560524368;53001
9;2023-01;0.7943371060428289;53001
10;2024-01;0.7789337002870373;53001
0;2014-01;0.6498707389076201;52015
1;2015-01;0.5475695170475001;52015
2;2016-01;0.49665354532056727;52015
3;2017-01;0.5080273478792847;52015
4;2018-01;0.570921135105927;52015
5;2019-01;0.4507860414095708;52015
6;2020-01;0.5110926200823899;52015
7;2021-01;0.5542380083684432;52015
8;2022-01;0.5747289373152726;52015
9;2023-01;0.5742521482658128;52015
10;2024-01;0.5855333580847464;52015
0;2014-01;0.589419849386689;52011
1;2015-01;0.5664343618803453;52011
2;2016-01;0.5305096688356872;52011
3;2017-01;0.5105563504315571;52011
4;2018-01;0.5220913970013081;52011
5;2019-01;0.5105002558169256;52011
6;2020-01;0.5569282797812922;52011
7;2021-01;0.5902371334438373;52011
8;2022-01;0.5694233678000638;52011
9;2023-01;0.576403589471155;52011
10;2024-01;0.5814304661516634;52011
0;2014-01;0.5245400442492937;52002
1;2015-01;0.5236322109313984;52002
2;2016-01;0.5341884327672082;52002
3;2017-01;0.5229612593895383;52002
4;2018-01;0.5613519255241022;52002
5;2019-01;0.5593008761996558;52002
6;2020-01;0.5828911095074589;52002
7;2021-01;0.6266832558905701;52002
8;2022-01;0.6350243816974545;52002
9;2023-01;0.534122848205916;52002
10;2024-01;0.538735956693866;52002
0;2014-01;0.33930933617466125;52009
1;2015-01;0.41681713539298676;52009
2;2016-01;0.34592856329294613;52009
3;2017-01;0.3219268908056093;52009
4;2018-01;0.32810174823904803;52009
5;2019-01;0.36107306542089146;52009
6;2020-01;0.35760524499654933;52009
7;2021-01;0.38995189995189994;52009
8;2022-01;0.4293730407523511;52009
9;2023-01;0.46012016718913273;52009
10;2024-01;0.4173807506566127;52009
0;2014-01;0.3769609557109557;52012
1;2015-01;0.42244004510513944;52012
2;2016-01;0.39887317783544196;52012
3;2017-01;0.3611347387762482;52012
4;2018-01;0.4066216103951953;52012
5;2019-01;0.3212773075980623;52012
6;2020-01;0.34471760123934037;52012
7;2021-01;0.3619977848238718;52012
8;2022-01;0.3514917386198851;52012
9;2023-01;0.39290673730033;52012
10;2024-01;0.38744420003583013;52012
0;2014-01;0.7491627050509551;52001
1;2015-01;0.759865492211952;52001
2;2016-01;0.7154163417322404;52001
3;2017-01;0.754693986345828;52001
4;2018-01;0.7632815363584805;52001
5;2019-01;0.7050495804881473;52001
6;2020-01;0.7024385671868301;52001
7;2021-01;0.7177053210090318;52001
8;2022-01;0.717730047321532;52001
9;2023-01;0.7014644681451647;52001
10;2024-01;0.7125143497700938;52001
0;2014-01;0.6782949179234009;52005
1;2015-01;0.6830474910025732;52005
2;2016-01;0.6561610793468995;52005
3;2017-01;0.6313023518507752;52005
4;2018-01;0.5538111207971192;52005
5;2019-01;0.5528869489635886;52005
6;2020-01;0.5896053511705686;52005
7;2021-01;0.6383600305110603;52005
8;2022-01;0.6739413751770732;52005
9;2023-01;0.6969158288980879;52005
10;2024-01;0.7103173139119809;52005
0;2014-01;0.27777777777777773;52006
1;2015-01;0.5595238095238095;52006
2;2016-01;0.5476190476190476;52006
3;2017-01;0.34523809523809523;52006
4;2018-01;0.41514041514041516;52006
5;2019-01;0.3017399267399267;52006
6;2020-01;0.26565934065934066;52006
7;2021-01;0.308937728937729;52006
8;2022-01;0.36117216117216117;52006
9;2023-01;0.4914606227106227;52006
10;2024-01;0.4881868131868132;52006
0;2014-01;0.3196337367272592;52004
1;2015-01;0.3612667032511189;52004
2;2016-01;0.3876382224364189;52004
3;2017-01;0.36724841886185083;52004
4;2018-01;0.40164147780324255;52004
5;2019-01;0.4018277295921805;52004
6;2020-01;0.4310795165769664;52004
7;2021-01;0.4571900081293145;52004
8;2022-01;0.44155698829109236;52004
9;2023-01;0.5022615362520488;52004
10;2024-01;0.5236563135395331;52004
0;2014-01;0.3642718838241227;52003
1;2015-01;0.3761964325470565;52003
2;2016-01;0.37553869443213705;52003
3;2017-01;0.3886259061642738;52003
4;2018-01;0.37751154350822996;52003
5;2019-01;0.38166217898461274;52003
6;2020-01;0.4360918160267353;52003
7;2021-01;0.4643786726894442;52003
8;2022-01;0.4696827674509221;52003
9;2023-01;0.43906965415959415;52003
10;2024-01;0.4302303222085436;52003
0;2014-01;0.2990047833226244;52018
1;2015-01;0.33882707891118324;52018
2;2016-01;0.3963381926922717;52018
3;2017-01;0.4596612466124661;52018
4;2018-01;0.46372048006194344;52018
5;2019-01;0.5263027487417732;52018
6;2020-01;0.5649266247379455;52018
7;2021-01;0.6256618748128182;52018
8;2022-01;0.45005836419550177;52018
9;2023-01;0.45500858150899576;52018
10;2024-01;0.4374599742184115;52018
0;2014-01;0.5487792139966052;52013
1;2015-01;0.525838407577538;52013
2;2016-01;0.4832687425688486;52013
3;2017-01;0.49862879667757715;52013
4;2018-01;0.5396649421039664;52013
5;2019-01;0.5259566449810352;52013
6;2020-01;0.5267420500521546;52013
7;2021-01;0.5855244004116185;52013
8;2022-01;0.5993330584041232;52013
9;2023-01;0.6038337335717884;52013
10;2024-01;0.6651181787732844;52013
0;2014-01;0.6482144522144522;52017
1;2015-01;0.5934358974358974;52017
2;2016-01;0.5594919786096256;52017
3;2017-01;0.6089433892679329;52017
4;2018-01;0.6346720946396402;52017
5;2019-01;0.6551745230677654;52017
6;2020-01;0.6877155973097043;52017
7;2021-01;0.6394720624010504;52017
8;2022-01;0.5437416946621874;52017
9;2023-01;0.5670577243614618;52017
10;2024-01;0.5823020423155245;52017
0;2014-01;0.5494091795144427;52016
1;2015-01;0.6410909090909092;52016
2;2016-01;0.6529225589225589;52016
3;2017-01;0.6285714285714286;52016
4;2018-01;0.4963299269036974;52016
5;2019-01;0.49643129630447913;52016
6;2020-01;0.5094071416753928;52016
7;2021-01;0.5692054186495235;52016
8;2022-01;0.6356605813317919;52016
9;2023-01;0.646611218747008;52016
10;2024-01;0.6512778205812875;52016
0;2014-01;0.4131766381766382;52014
1;2015-01;0.46794662309368196;52014
2;2016-01;0.46370663650075417;52014
3;2017-01;0.49556758600876244;52014
4;2018-01;0.4216691804927099;52014
5;2019-01;0.3947514903397257;52014
6;2020-01;0.4789219401288367;52014
7;2021-01;0.5289819376026272;52014
8;2022-01;0.6104086845466157;52014
9;2023-01;0.6164763989887143;52014
10;2024-01;0.5279183562806316;52014
0;2014-01;0.39016806722689074;52007
1;2015-01;0.3977310924369748;52007
2;2016-01;0.4226984126984127;52007
3;2017-01;0.3607142857142857;52007
4;2018-01;0.43002801120448175;52007
5;2019-01;0.388827460808885;52007
6;2020-01;0.3583222762789326;52007
7;2021-01;0.41212590299277607;52007
8;2022-01;0.4697449506118237;52007
9;2023-01;0.5575767003716188;52007
10;2024-01;0.3722400829660358;52007
0;2014-01;0.4157129742962056;52008
1;2015-01;0.4151315789473684;52008
2;2016-01;0.4709785133565621;52008
3;2017-01;0.4835980733756918;52008
4;2018-01;0.4063055954088953;52008
5;2019-01;0.38105304786079536;52008
6;2020-01;0.37425359804125946;52008
